报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,18.892,150.367,37.297,114.26,67.985
除税前盈利/(亏损),0.272,4.219,3.764,13.073,8.913
税项,-0.054,-4.396,-0.743,-2.379,-1.674
除税后盈利/(亏损),0.218,-0.177,3.021,10.694,7.239
少数股东权益,,,,,
股东应占盈利/(亏损),0.218,-0.177,3.021,10.694,7.239
股息,,,,,
除税及股息后盈利/(亏损),0.218,-0.177,3.021,10.694,7.239
基本每股盈利(仙),0.030000,-0.020000,0.450000,1.580000,1.070000
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-13.201,-101.732,-25.166,-74.556,-52.133
折旧,--,-4.382,--,-3.683,-0.276
销售及分销费用,-1.021,-8.363,-1.403,-7.767,-2.695
一般及行政费用,-4.413,-17.051,-6.564,-16.549,-3.378
利息费用/融资成本,-0.185,-1.673,-0.309,-1.157,-0.009
毛利,5.691,48.635,12.131,39.704,15.852
经营盈利,0.272,4.219,3.764,13.073,8.913
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
