报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,722.54618,584.529415,513.531678,467.913702
除税前盈利/(亏损),60.293293,57.041586,21.853977,11.867757
税项,-12.724885,-14.021928,-6.664013,-3.437385
除税后盈利/(亏损),47.568408,43.019658,15.189964,8.430372
少数股东权益,0.106011,-0.319911,-1.26958,0.255774
股东应占盈利/(亏损),47.462397,43.339569,16.459544,8.174598
股息,25.890279,3.23667,,2.822935
除税及股息后盈利/(亏损),21.572118,40.102899,16.459544,5.351663
基本每股盈利(仙),5.740000,,,
摊薄每股盈利(仙),5.740000,--,--,--
每股股息(仙),1.350000,--,--,--
销售成本,-539.770782,-419.992751,-401.486876,-371.065671
折旧,-12.699314,-10.862143,-9.514124,-8.093456
销售及分销费用,-68.863132,-60.703611,-48.002896,-44.384298
一般及行政费用,-60.565996,-48.625082,-41.799682,-35.135256
利息费用/融资成本,-3.883374,-5.426968,-8.08074,-3.527747
毛利,182.775398,164.536664,112.044802,96.848031
经营盈利,63.958514,61.976856,28.590217,14.735008
应占联营公司盈利,--,--,--,--
币种,美元,美元,美元,美元
