报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,34.677,208.136,31.463,183.979,179.714
除税前盈利/(亏损),0.016,-1.463,0.009,9.038,4.296
税项,0.052,-3.147,0.013,-2.758,-1.096
除税后盈利/(亏损),0.068,-4.61,0.022,6.28,3.2
少数股东权益,,,,,
股东应占盈利/(亏损),0.068,-4.61,0.022,6.28,3.2
股息,,,,,
除税及股息后盈利/(亏损),0.068,-4.61,0.022,6.28,3.2
基本每股盈利(仙),0.017000,-1.520000,0.007000,,
摊薄每股盈利(仙),0.017000,-1.520000,0.007000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-25.475,-159.606,-23.953,-140.808,-141.671
折旧,-2.948,-14.284,-3.351,-14.687,-12.973
销售及分销费用,-1.055,-4.072,-0.934,-3.438,-3.735
一般及行政费用,-6.876,-41.114,-5.692,-27.573,-24.557
利息费用/融资成本,-1.307,-4.578,-1.056,-4.327,-4.524
毛利,9.202,48.53,7.51,43.171,38.043
经营盈利,1.255,2.907,0.964,12.773,8.096
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
