报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31
报表类型,一季报,年报,三季报,中报,一季报,年报
营业额,45.085,186.168,132.865,86.752,37.952,125.671
除税前盈利/(亏损),7.785,30.439,24.946,14.893,6.493,6.489
税项,-1.294,-5.416,-4.253,-2.896,-1.491,-2.929
除税后盈利/(亏损),6.491,25.023,20.693,11.997,5.002,3.56
少数股东权益,,,,,,
股东应占盈利/(亏损),6.491,25.023,20.693,11.997,5.002,3.56
股息,,,,,,8.9
除税及股息后盈利/(亏损),6.491,25.023,20.693,11.997,5.002,-5.34
基本每股盈利(仙),0.970000,3.720000,3.080000,1.790000,0.990000,0.700000
摊薄每股盈利(仙),0.970000,3.720000,3.080000,1.790000,0.990000,0.700000
每股股息(仙),--,--,--,--,--,--
销售成本,-30.638,-130.665,-89.282,-59.81,-24.855,-87.357
折旧,-1.487,-4.436,-3.116,-1.993,-0.969,-3.482
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-6.714,-25.027,-18.583,-11.995,-6.5,-32.543
利息费用/融资成本,--,-0.104,-0.104,-0.104,-0.104,-0.264
毛利,14.447,55.503,43.583,26.942,13.097,38.314
经营盈利,7.785,30.543,25.05,14.997,6.597,6.753
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
