报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-09-30,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,中报,年报,年报
营业额,350.925,615.376,382.21,661.082,286.975,539.466,456.831
除税前盈利/(亏损),19.554,15.482,3.066,33.733,15.548,26.49,17.126
税项,-3.315,-4.685,-2.682,-5.464,-2.434,-4.107,-2.552
除税后盈利/(亏损),16.239,10.797,0.384,28.269,13.114,22.383,14.574
少数股东权益,,,,,,,
股东应占盈利/(亏损),16.239,10.797,0.384,28.269,13.114,22.383,14.574
股息,8,8,,,,,6.24
除税及股息后盈利/(亏损),8.239,2.797,0.384,28.269,13.114,22.383,8.334
基本每股盈利(仙),2.000000,1.600000,0.100000,,2.200000,,
摊薄每股盈利(仙),2.000000,1.600000,0.100000,--,2.200000,--,--
每股股息(仙),1.000000,1.000000,--,--,--,--,--
销售成本,-318.366,-557.012,-352.789,-607.107,-262.163,-492.268,-421.232
折旧,-0.587,-0.655,-0.135,-0.252,-0.122,-0.199,-0.336
销售及分销费用,--,--,--,--,--,--,--
一般及行政费用,-13.367,-43.352,-26.265,-20.419,-9.176,-20.251,-17.284
利息费用/融资成本,--,-0.098,-0.094,-0.19,-0.09,-0.502,-1.193
毛利,32.559,58.364,29.421,53.975,24.812,47.198,35.599
经营盈利,19.554,15.482,3.066,33.733,15.548,26.49,17.126
应占联营公司盈利,--,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币,港币
