报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,149.158,88.209,161.385,76.097,142.524,23.653
除税前盈利/(亏损),19.228,7.386,60.087,35.849,90.113,8.48
税项,-22.912,-9.819,-18.606,-11.287,-22.788,-4.185
除税后盈利/(亏损),9.198,-2.433,41.481,24.562,67.325,4.295
少数股东权益,22.947,9.858,17.413,8.1,16.39,2.228
股东应占盈利/(亏损),-13.749,-12.291,24.068,16.462,50.935,2.067
股息,,,,,,
除税及股息后盈利/(亏损),-13.749,-12.291,24.068,16.462,50.935,2.067
基本每股盈利(仙),-10.800000,-10.300000,24.300000,16.700000,,
摊薄每股盈利(仙),-10.800000,-10.300000,24.300000,16.700000,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-61.32,-46.231,-77.766,-25.349,-41.395,-7.763
折旧,-2.892,-1.708,-3.686,-1.767,-3.452,-0.988
销售及分销费用,--,--,-0.004,-0.001,-0.001,--
一般及行政费用,-53.706,-28.252,-28.268,-16.038,-13.203,-7.947
利息费用/融资成本,-21.227,-8.393,--,--,--,--
毛利,87.838,41.978,83.619,50.748,101.129,15.89
经营盈利,37.754,15.117,59.397,35.8,90.06,7.896
应占联营公司盈利,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币
