报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,184.363,212.488,176.456
除税前盈利/(亏损),32.48,36.039,10.385
税项,-5.524,-5.974,-1.941
除税后盈利/(亏损),26.956,30.065,8.444
少数股东权益,,,
股东应占盈利/(亏损),26.956,30.065,8.444
股息,,,
除税及股息后盈利/(亏损),26.956,30.065,8.444
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-135.106,-161.735,-152.869
折旧,-1.326,-1.487,-1.624
销售及分销费用,--,--,--
一般及行政费用,-16.774,-14.796,-13.239
利息费用/融资成本,-0.003,-0.006,-0.013
毛利,49.257,50.753,23.587
经营盈利,32.483,36.045,10.398
应占联营公司盈利,--,--,--
币种,港币,港币,港币
