报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,1174.949,449.733,1023.269,398.109,1093.578,753.95
除税前盈利/(亏损),436.163,126.635,403.515,168.174,433.211,69.296
税项,-32.651,-16.07,-52.563,-28.659,-82.392,-45.619
除税后盈利/(亏损),403.512,110.565,350.952,139.515,350.819,23.677
少数股东权益,-0.395,-0.411,0.343,,0.581,
股东应占盈利/(亏损),403.907,110.976,350.609,139.515,350.238,23.677
股息,218.751,,,,,
除税及股息后盈利/(亏损),185.156,110.976,350.609,139.515,350.238,23.677
基本每股盈利(仙),16.000000,5.000000,18.000000,7.000000,18.000000,1.000000
摊薄每股盈利(仙),16.000000,5.000000,18.000000,7.000000,18.000000,1.000000
每股股息(仙),8.000000,--,--,--,--,--
销售成本,-75.23,-31.359,-59.891,-28.914,-154.982,-90.261
折旧,-8.685,-3.753,-10.323,-4.193,-10.199,-8.716
销售及分销费用,--,--,--,--,--,--
一般及行政费用,--,--,--,--,--,--
利息费用/融资成本,-133.028,-57.403,-99.67,-34.208,-70.089,-52.091
毛利,1099.719,418.374,961.809,369.195,936.884,660.858
经营盈利,435.152,133.055,393.61,166.628,417.663,55.037
应占联营公司盈利,0.998,-6.425,9.905,1.546,10.419,6.624
币种,港币,港币,港币,港币,港币,港币
