报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,367.978,299.77,282.558
除税前盈利/(亏损),33.789,25.296,19.334
税项,-5.529,-4.145,-3.084
除税后盈利/(亏损),28.26,21.151,16.25
少数股东权益,0.904,1.343,2.584
股东应占盈利/(亏损),27.356,19.808,13.666
股息,,,
除税及股息后盈利/(亏损),27.356,19.808,13.666
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-276.8,-221.978,-216.666
折旧,-7.035,-4.395,-2.616
销售及分销费用,-31.799,-28.603,-27.028
一般及行政费用,-23.386,-22.544,-21.125
利息费用/融资成本,-1.388,-1.013,-1.4
毛利,91.178,77.792,65.892
经营盈利,35.177,26.309,20.734
应占联营公司盈利,--,--,--
币种,港币,港币,港币
