报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,169.741,146.508,147.294
除税前盈利/(亏损),45.423,40.461,28.21
税项,-0.385,-0.443,-1.474
除税后盈利/(亏损),45.038,40.018,26.736
少数股东权益,,0.423,-0.096
股东应占盈利/(亏损),45.038,39.595,26.832
股息,,,
除税及股息后盈利/(亏损),45.038,39.595,26.832
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-93.362,-78.971,-87.353
折旧,-10.813,-6.045,-6.862
销售及分销费用,-8.005,-7.988,-7.693
一般及行政费用,-28.767,-23.542,-21.083
利息费用/融资成本,-3.843,-4.693,-14.6
毛利,76.379,67.537,59.941
经营盈利,45.423,40.461,28.21
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
