报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30,2015-09-30,2014-09-30
报表类型,中报,年报,中报,年报,年报,年报
营业额,180.566,308.008,167.823,192.139,180.76,132.884
除税前盈利/(亏损),20.035,30.037,20.895,36.335,33.603,13.952
税项,-3.762,-7.674,-4.234,-5.967,-5.539,-2.259
除税后盈利/(亏损),16.273,22.363,16.661,30.368,28.064,11.693
少数股东权益,,,,0.955,,
股东应占盈利/(亏损),16.273,22.363,16.661,29.413,28.064,11.693
股息,,,,,,
除税及股息后盈利/(亏损),16.273,22.363,16.661,29.413,28.064,11.693
基本每股盈利(仙),3.000000,5.000000,4.000000,29.000000,37.000000,16.000000
摊薄每股盈利(仙),--,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-150.989,-249.523,-137.245,-145.302,-136.101,-110.64
折旧,-0.27,-0.609,-0.317,-0.577,-0.473,-0.529
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-9.769,-18.319,-6.434,-9.98,-9.349,-7.686
利息费用/融资成本,-0.002,-0.01,-0.006,-0.033,-0.227,-0.618
毛利,29.577,58.485,30.578,46.837,44.659,22.244
经营盈利,20.035,30.037,20.895,36.335,33.603,13.952
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
