报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,115.24,418.513,112.888,393.705,294.429
除税前盈利/(亏损),-7.345,-6.584,-0.26,3.689,2.134
税项,-0.566,-3.649,-1.389,-2.475,-0.939
除税后盈利/(亏损),-7.911,-10.233,-1.649,1.214,1.195
少数股东权益,,-0.072,-0.072,0.086,-0.685
股东应占盈利/(亏损),-7.911,-10.161,-1.577,1.128,1.88
股息,,,,,
除税及股息后盈利/(亏损),-7.911,-10.161,-1.577,1.128,1.88
基本每股盈利(仙),-0.570000,-0.900000,-0.150000,,
摊薄每股盈利(仙),-0.570000,-0.900000,-0.150000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-36.213,-131.515,-35.263,-127.337,-92.388
折旧,-3.983,-17.783,-4.46,-18.327,-14.609
销售及分销费用,--,--,--,--,--
一般及行政费用,--,--,--,--,--
利息费用/融资成本,-0.437,-2.36,-0.903,-4.232,-4.38
毛利,79.027,286.998,77.625,266.368,202.041
经营盈利,-7.345,-6.584,-0.26,3.689,2.134
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
