报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,8024.494,2994.018,8156.469,3142.088,8609.588,8899.967,6661.137
除税前盈利/(亏损),1078.198,367.699,1264.923,512.963,892.846,651.641,142.619
税项,-163.286,-69.961,-180.193,-74.486,-142.537,-114.166,-97.158
除税后盈利/(亏损),914.912,297.738,1084.73,438.477,750.309,537.475,45.461
少数股东权益,39.988,15.738,64.166,37.99,44.556,2.265,-131.497
股东应占盈利/(亏损),874.924,282,1020.564,400.487,705.753,535.21,176.958
股息,,,370.943,,,,200
除税及股息后盈利/(亏损),874.924,282,649.621,400.487,705.753,535.21,-23.042
基本每股盈利(仙),29.000000,10.000000,41.000000,17.000000,39.000000,45.000000,15.000000
摊薄每股盈利(仙),29.000000,10.000000,41.000000,17.000000,39.000000,45.000000,15.000000
每股股息(仙),13.000000,--,12.500000,--,--,--,--
销售成本,-6424.764,-2377.383,-6483.157,-2427.109,-7229.534,-5436.681,-4695.866
折旧,-515.968,--,-422.31,--,-312.907,-256.543,-209.579
销售及分销费用,-46.036,-23.537,-47.018,-18.211,-38.252,-38.101,-29.13
一般及行政费用,-293.094,-125.921,-282.051,-107.483,-289.947,-235.769,-194.87
利息费用/融资成本,-182.831,-90.668,-193.065,-99.415,-230.022,-272.2,-248.379
毛利,1599.73,616.635,1673.312,714.979,1380.054,3463.286,1965.271
经营盈利,1078.198,367.699,1264.923,512.963,892.846,651.641,142.619
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
