报告期,2017-09-30,2017-03-31,2016-03-31,2015-03-31
报表类型,中报,年报,年报,年报
非流动资产,0.748,0.762,0.395,0.397
流动资产,49.561,38.84,26.413,26.514
流动负债,20.657,14.009,13.785,7.635
净流动资产/(负债),28.904,24.831,12.628,18.879
非流动负债,--,--,--,--
少数股东权益 - (借)/贷,,,,
净资产/(负债),29.652,25.593,13.023,19.276
已发行股本,,,,0.62
储备,29.652,25.593,13.023,18.656
股东权益/(亏损),29.652,25.593,13.023,19.276
无形资产(非流动资产),--,--,--,--
物业、厂房及设备(非流动资产),0.569,0.583,0.266,0.319
附属公司权益(非流动资产),--,--,--,--
联营公司权益 (非流动资产),,,,
其他投资(非流动资产),,,,
应收账款(流动资产),14.269,11.607,9.893,6.568
存货(流动资产),--,--,--,--
现金及银行结存(流动资产),14.174,11.276,6.169,11.978
应付帐款(流动负债),7.787,7.768,3.871,2.646
银行贷款(流动负债),--,--,--,--
非流动银行贷款,--,--,--,--
总资产,50.309,39.602,26.808,26.911
总负债,20.657,14.009,13.785,7.635
股份数目(香港),--,--,--,--
币种,港币,港币,港币,港币
