报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,11657.761,4813.843,6987.097,2788.965,5374.208,2224.304,5712.841,2986.563
除税前盈利/(亏损),4104.717,2093.66,2457.271,1126.335,1650.738,1035.933,3186.146,2397.264
税项,-1529.93,-691.002,-1182.083,-568.414,-691.562,-329.25,-1238.85,-783.412
除税后盈利/(亏损),2574.787,1402.658,1275.188,557.921,959.176,706.683,1947.296,1613.852
少数股东权益,1421.625,748.496,477.607,157.134,233.458,110.354,274.167,301.583
股东应占盈利/(亏损),1153.162,654.162,797.581,400.787,725.718,596.329,1673.129,1312.269
股息,460,,1002.367,,120.426,,115.746,
除税及股息后盈利/(亏损),693.162,654.162,-204.786,400.787,605.292,596.329,1557.383,1312.269
基本每股盈利(仙),7.500000,4.300000,5.200000,2.600000,5.300000,4.900000,16.800000,13.700000
摊薄每股盈利(仙),--,--,--,--,--,--,--,--
每股股息(仙),4.000000,--,6.996800,--,0.837800,--,0.788900,--
销售成本,-6410.085,-2453.125,-3226.908,-1071.496,-2479.565,-914.479,-2318.049,-1181.802
折旧,-309.279,-188.189,-348.719,-154.923,-303.371,-162.346,-309.65,-134.764
销售及分销费用,-584.576,-213.347,-592.863,-268.819,-570.787,-209.553,-489.331,-179.94
一般及行政费用,-974.498,-461.561,-958.607,-418.532,-966.615,-402.196,-983.899,-399.28
利息费用/融资成本,-783.213,-356.909,-704.568,-362.676,-957.201,-474.804,-926.492,-447.188
毛利,5247.676,2360.718,3760.189,1717.469,2894.643,1309.825,3394.792,1804.761
经营盈利,4104.717,2093.66,2457.271,1126.335,1650.738,1035.933,3186.146,2397.264
应占联营公司盈利,-19.066,-3.838,8.191,15.945,-35.202,9.013,-10.006,4.27
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
