报告期,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报
营业额,135.65,114.373,105.13
除税前盈利/(亏损),39.123,27.645,19.393
税项,-5.777,-4.443,-2.973
除税后盈利/(亏损),33.346,23.202,16.42
少数股东权益,,,
股东应占盈利/(亏损),33.346,23.202,16.42
股息,,,
除税及股息后盈利/(亏损),33.346,23.202,16.42
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-74.514,-65.855,-64.518
折旧,-3.168,-3.749,-4.069
销售及分销费用,-9.68,-8.405,-8.168
一般及行政费用,-9.372,-9.248,-9.124
利息费用/融资成本,--,--,--
毛利,61.136,48.518,40.612
经营盈利,39.123,27.645,19.393
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
