报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,87.338,59.047,47.899
除税前盈利/(亏损),21.692,25.635,15.491
税项,-3.688,-3.467,-2.07
除税后盈利/(亏损),18.004,22.168,13.421
少数股东权益,,,
股东应占盈利/(亏损),18.004,22.168,13.421
股息,,12.504,65.455
除税及股息后盈利/(亏损),18.004,9.664,-52.034
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-47.882,-28.561,-24.81
折旧,-1.617,-0.93,-0.508
销售及分销费用,-4.457,-2.822,-2.61
一般及行政费用,-18.113,-4.775,-4.648
利息费用/融资成本,--,-0.503,-1.159
毛利,39.456,30.486,23.089
经营盈利,21.692,26.138,16.65
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
