报告期,2016-12-31,2016-03-31,2015-12-31,2015-03-31
报表类型,三季报,年报,三季报,年报
营业额,81.157,180.391,122.885,81.661
除税前盈利/(亏损),-8.465,17.003,15.252,5.662
税项,0.158,-3.281,-2.517,-0.914
除税后盈利/(亏损),-8.307,13.722,12.736,4.748
少数股东权益,,,,
股东应占盈利/(亏损),-8.307,13.722,12.736,4.748
股息,,6.789,,5
除税及股息后盈利/(亏损),-8.307,6.933,12.736,-0.252
基本每股盈利(仙),-5.610000,17.940000,16.650000,6.210000
摊薄每股盈利(仙),-5.610000,--,16.650000,--
每股股息(仙),--,--,--,--
销售成本,-67.812,-148.757,-98.937,-66.936
折旧,-0.225,-0.706,-0.591,-0.785
销售及分销费用,--,--,--,--
一般及行政费用,-21.691,-12.29,-8.149,-8.844
利息费用/融资成本,-0.129,-0.705,-0.557,-0.234
毛利,13.345,31.634,23.948,14.725
经营盈利,-8.465,17.003,15.252,5.662
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
