报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,949.171,861.289,846.016,821.934
除税前盈利/(亏损),423.195,425.3,364.407,313.362
税项,-1.73,-1.949,-2.506,-3.936
除税后盈利/(亏损),428.872,412.515,348.259,309.519
少数股东权益,-0.012,1.161,0.676,0.634
股东应占盈利/(亏损),428.884,411.354,347.583,308.885
股息,,,,
除税及股息后盈利/(亏损),428.884,411.354,347.583,308.885
基本每股盈利(仙),28.160000,27.420000,23.170000,20.590000
摊薄每股盈利(仙),28.160000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-389.448,-404.577,-415.897,-408.683
折旧,-124.646,-109.532,-88.475,-74.92
销售及分销费用,-9.676,-9.367,-14.289,-21.573
一般及行政费用,-133.369,-101.523,-103.385,-111.265
利息费用/融资成本,-18.472,-14.889,-12.294,-13.21
毛利,559.723,456.712,430.119,413.251
经营盈利,423.195,425.3,364.407,313.362
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
