报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,143.95567,71.685719,176.367215,84.105639,132.38157,77.227078
除税前盈利/(亏损),8.440667,6.877259,9.366195,5.995004,7.613125,3.350567
税项,-2.233554,-1.334158,-1.526333,-0.911116,-0.608872,
除税后盈利/(亏损),6.207113,5.543101,7.839862,5.083888,7.004253,3.350567
少数股东权益,0.991758,0.697875,0.13443,,,
股东应占盈利/(亏损),5.215355,4.845226,7.705432,5.083888,7.004253,3.350567
股息,,,,,,
除税及股息后盈利/(亏损),5.215355,4.845226,7.705432,5.083888,7.004253,3.350567
基本每股盈利(仙),0.790000,,,,,
摊薄每股盈利(仙),0.790000,--,--,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-129.545045,-62.849373,-165.162254,-77.195318,-122.872348,-72.101371
折旧,-1.194019,-0.465504,-0.751599,-0.340466,-0.538129,-0.446705
销售及分销费用,-0.031946,-0.024807,-0.05936,-0.03511,-0.056679,-0.047716
一般及行政费用,-2.78393,-1.008636,-2.59271,-1.136714,-2.399149,-2.163201
利息费用/融资成本,-0.116796,-0.057596,-0.031136,-0.009362,-0.017215,-0.018513
毛利,14.410625,8.836346,11.204961,6.910321,9.509222,5.125707
经营盈利,8.440667,6.877259,9.366195,5.995004,7.613125,3.350567
应占联营公司盈利,--,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
