报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,31.306,131.627,31.321,94.302,73.162
除税前盈利/(亏损),4.516,24.546,4.922,14.658,14.357
税项,-1.381,-5.571,-1.461,-3.861,-3.02
除税后盈利/(亏损),3.135,18.975,3.461,10.797,11.337
少数股东权益,,,,,
股东应占盈利/(亏损),3.135,18.975,3.461,10.797,11.337
股息,,,,,
除税及股息后盈利/(亏损),3.135,18.975,3.461,10.797,11.337
基本每股盈利(仙),0.320000,2.730000,0.510000,,
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-19.933,-83.86,-20.332,-60.882,-50.576
折旧,-0.541,-2.141,-0.539,-2.065,-2.038
销售及分销费用,-0.528,-2.468,-0.453,-2.111,-1.711
一般及行政费用,-6.275,-19.238,-5.185,-8.972,-5.386
利息费用/融资成本,-0.532,-2.351,-0.592,-2.287,-1.788
毛利,11.373,47.767,10.989,33.42,22.586
经营盈利,5.048,26.897,5.514,16.945,16.145
应占联营公司盈利,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币
