报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,396.88,502.053,259.403
除税前盈利/(亏损),31.45,26.566,21.364
税项,-5.625,-4.366,-3.527
除税后盈利/(亏损),25.825,22.2,17.837
少数股东权益,,,
股东应占盈利/(亏损),25.825,22.2,17.837
股息,,,
除税及股息后盈利/(亏损),25.825,22.2,17.837
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-356.375,-472.922,-232.619
折旧,-10.225,-10.734,-11.535
销售及分销费用,--,--,--
一般及行政费用,-12.07,-7.254,-5.709
利息费用/融资成本,-1.209,-1.003,-0.794
毛利,40.505,29.131,26.784
经营盈利,31.45,26.566,21.364
应占联营公司盈利,--,--,--
币种,港币,港币,港币
