报告期,2018-03-31,2017-09-30,2017-03-31,2016-09-30,2015-09-30
报表类型,中报,年报,中报,年报,年报
营业额,9.505,24.514,10.575,23.024,14.715
除税前盈利/(亏损),-4.822,9.89,5.183,15.598,10.446
税项,-0.292,-2.574,-0.854,-2.568,-1.643
除税后盈利/(亏损),-5.114,7.316,4.329,13.03,8.803
少数股东权益,,,,,
股东应占盈利/(亏损),-5.114,7.316,4.329,13.03,8.803
股息,,,,,
除税及股息后盈利/(亏损),-5.114,7.316,4.329,13.03,8.803
基本每股盈利(仙),-0.630000,,0.540000,,
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,--,--,--,--,--
折旧,-0.07,-0.148,-0.075,-0.148,-0.045
销售及分销费用,--,--,--,--,--
一般及行政费用,--,--,--,--,--
利息费用/融资成本,--,--,--,--,--
毛利,9.505,24.514,10.575,23.024,14.715
经营盈利,-4.822,9.89,5.183,15.598,10.446
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
