报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
营业额,269.434,407.32,145.091,361.427,289.856,187.795
除税前盈利/(亏损),12.237,12.684,11.881,29.652,26.753,15.954
税项,-2.39,-4.538,-2.793,-5.344,-4.156,-2.372
除税后盈利/(亏损),9.847,8.146,9.088,24.308,22.597,13.582
少数股东权益,,,,,,
股东应占盈利/(亏损),9.847,8.146,9.088,24.308,22.597,13.582
股息,,2.4,,,,
除税及股息后盈利/(亏损),9.847,5.746,9.088,24.308,22.597,13.582
基本每股盈利(仙),1.240000,1.360000,1.510000,,,
摊薄每股盈利(仙),1.240000,1.360000,1.510000,--,--,--
每股股息(仙),--,0.300000,--,--,--,--
销售成本,-234.014,-347.566,-115.442,-307.146,-245.684,-160.655
折旧,-1.765,-2.846,-1.483,-2.44,-1.249,-1.024
销售及分销费用,--,--,--,--,--,--
一般及行政费用,-22.84,-46.581,-17.961,-23.237,-17.077,-11.701
利息费用/融资成本,-1.366,-2.279,-1.066,-1.76,-2.075,-1.189
毛利,35.42,59.754,29.649,54.281,44.172,27.14
经营盈利,13.529,14.882,12.916,31.352,28.781,17.137
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
