报告期,2018-03-31,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报,年报
营业额,86.747,95.228,54.825,23.986
除税前盈利/(亏损),12.204,43.477,26.729,9.322
税项,-5.287,-7.214,-4.329,-1.504
除税后盈利/(亏损),6.917,36.263,22.4,7.818
少数股东权益,,,,
股东应占盈利/(亏损),6.917,36.263,22.4,7.818
股息,,,,
除税及股息后盈利/(亏损),6.917,36.263,22.4,7.818
基本每股盈利(仙),3.400000,,,
摊薄每股盈利(仙),3.400000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-42.225,-36.958,-18.493,-8.823
折旧,-0.605,-0.575,-0.437,-0.173
销售及分销费用,-6.252,-6.832,-4.444,-3.231
一般及行政费用,-26.251,-7.949,-5.195,-2.666
利息费用/融资成本,--,--,--,--
毛利,44.522,58.27,36.332,15.163
经营盈利,12.028,43.477,26.715,9.29
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
