报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,1643.41,1285.8,1784.213,1765.635
除税前盈利/(亏损),1119.414,1077.128,1345.813,1285.506
税项,-224.609,-244.099,-270.303,-299.998
除税后盈利/(亏损),894.805,833.029,1075.51,985.508
少数股东权益,,,,
股东应占盈利/(亏损),894.805,833.029,1075.51,985.508
股息,447.8,395.597,290.061,701.054
除税及股息后盈利/(亏损),447.005,437.432,785.449,284.454
基本每股盈利(仙),44.000000,42.000000,54.000000,49.000000
摊薄每股盈利(仙),44.000000,42.000000,54.000000,49.000000
每股股息(仙),17.300000,--,--,--
销售成本,--,--,--,--
折旧,-9.115,-5.684,-3.265,-2.852
销售及分销费用,--,--,--,--
一般及行政费用,--,--,--,--
利息费用/融资成本,-167.731,-88.097,-106.441,-124.866
毛利,1628.851,1261.158,1697.291,1679.875
经营盈利,1119.414,1077.128,1345.813,1285.506
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
