报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,3.84,18.583,2.737,11.493,8.711
除税前盈利/(亏损),-0.376,6.439,-0.114,3.413,6.04
税项,,0.191,0.077,0.174,-0.054
除税后盈利/(亏损),-0.376,6.63,-0.037,3.587,5.986
少数股东权益,,,,,
股东应占盈利/(亏损),-0.376,6.63,-0.037,3.587,5.986
股息,,,,,
除税及股息后盈利/(亏损),-0.376,6.63,-0.037,3.587,5.986
基本每股盈利(仙),-0.020000,0.900000,,,
摊薄每股盈利(仙),-0.020000,0.900000,--,--,--
每股股息(仙),--,0.200000,--,--,--
销售成本,--,--,--,--,--
折旧,-0.036,-0.139,-0.06,-0.166,-0.016
销售及分销费用,-0.034,-0.128,-0.048,-0.333,-0.087
一般及行政费用,-0.162,--,-0.105,--,--
利息费用/融资成本,--,--,--,--,--
毛利,3.84,18.583,2.737,11.493,8.711
经营盈利,-0.376,6.439,-0.114,3.413,6.04
应占联营公司盈利,--,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
