报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,918.34,442.376,902.005,459.805,1012.764,526.576,1094.327,541.996
除税前盈利/(亏损),93.184,74.547,95.706,77.011,156.144,136.461,319.557,177.02
税项,-37.405,-26.105,-52.351,-24.437,-53.434,-41.808,-116.646,-75.499
除税后盈利/(亏损),55.779,48.442,43.355,52.574,102.71,94.653,202.911,101.521
少数股东权益,0.929,-0.863,-2.048,-0.72,-2.127,-1.057,-0.696,-0.039
股东应占盈利/(亏损),54.85,49.305,45.403,53.294,104.837,95.71,203.607,101.56
股息,,,,,,,432.173,328.179
除税及股息后盈利/(亏损),54.85,49.305,45.403,53.294,104.837,95.71,-228.566,-226.619
基本每股盈利(仙),1.600000,1.440000,1.320000,1.550000,3.050000,2.780000,5.910000,2.950000
摊薄每股盈利(仙),1.600000,1.440000,1.320000,1.550000,3.050000,2.780000,5.910000,2.950000
每股股息(仙),--,--,--,--,--,--,12.448930,9.530000
销售成本,-291.912,-129.816,-334.588,-150.28,-347.307,-142.44,-328.789,-152.294
折旧,-16.863,-8.121,-15.081,-7.551,-12.525,-5.374,-9.862,-4.701
销售及分销费用,-477.177,-217.878,-456.764,-226.659,-497.309,-243.323,-454.304,-210.452
一般及行政费用,-59.612,-27.047,-60.344,-26.148,-61.486,-25.184,-53.41,-28.935
利息费用/融资成本,-4.398,-3.743,-6.681,-3.23,-12.003,-6.806,-7.512,-1.042
毛利,626.428,312.56,567.417,309.525,665.457,384.136,765.538,389.702
经营盈利,67.92,63.486,67.274,60.598,127.64,118.351,275.522,150.872
应占联营公司盈利,-0.456,-0.584,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
