报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,9.448,32.84,6.174,40.776,43.424
除税前盈利/(亏损),2.507,2.114,-1.929,15.423,22.465
税项,-0.818,-2.692,-0.377,-3.635,-3.547
除税后盈利/(亏损),1.689,-0.578,-2.306,11.788,18.918
少数股东权益,,0.393,0.055,0.746,1.167
股东应占盈利/(亏损),1.689,-0.971,-2.361,11.042,17.751
股息,,,,27.364,
除税及股息后盈利/(亏损),1.689,-0.971,-2.361,-16.322,17.751
基本每股盈利(仙),0.220000,-0.160000,-0.390000,,
摊薄每股盈利(仙),0.220000,-0.160000,-0.390000,--,--
每股股息(仙),1.000000,--,--,--,--
销售成本,--,--,--,--,--
折旧,-0.016,-0.051,-0.011,-0.076,-0.116
销售及分销费用,--,--,--,--,--
一般及行政费用,-3.916,-12.43,-2.843,-11.66,-16.335
利息费用/融资成本,--,--,--,--,--
毛利,9.448,32.84,6.174,40.776,43.424
经营盈利,2.507,2.114,-1.929,15.423,22.465
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
