报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31,2014-03-31
报表类型,中报,年报,中报,年报,年报,年报
营业额,71.061,175.862,89.128,205.439,207.534,112.834
除税前盈利/(亏损),18.679,23.944,16.902,39.921,35.3,15.124
税项,-2.758,-6.762,-3.5,-6.936,-5.853,-2.561
除税后盈利/(亏损),15.921,17.182,13.402,32.985,29.447,12.563
少数股东权益,,,,,,
股东应占盈利/(亏损),15.921,17.182,13.402,32.985,29.447,12.563
股息,,,,15,,
除税及股息后盈利/(亏损),15.921,17.182,13.402,17.985,29.447,12.563
基本每股盈利(仙),1.280000,1.820000,1.490000,,,
摊薄每股盈利(仙),1.280000,1.820000,1.490000,--,--,--
每股股息(仙),--,--,--,--,--,--
销售成本,-42.045,-115.029,-57.967,-147.477,-154.152,-85.574
折旧,-13.941,-24.45,-11.85,-20.727,-19.279,-13.197
销售及分销费用,-1.492,-2.937,-1.258,-3.453,-3.319,-3.466
一般及行政费用,-10.271,-34.456,-11.811,-13.828,-11.054,-8.274
利息费用/融资成本,-1.236,-1.843,-0.8,-0.927,-0.64,-0.493
毛利,29.016,60.833,31.161,57.962,53.382,27.26
经营盈利,19.857,24.829,17.572,40.619,35.825,15.591
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
