报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,1760.753,1244.735,934.412,826.099
除税前盈利/(亏损),402.696,231.756,99.408,63.851
税项,-102.489,-62.71,-27.377,-17.188
除税后盈利/(亏损),300.207,169.046,72.031,46.663
少数股东权益,10.48,8.376,7.065,5.059
股东应占盈利/(亏损),289.727,160.67,64.966,41.604
股息,347.975,,,
除税及股息后盈利/(亏损),-58.248,160.67,64.966,41.604
基本每股盈利(仙),35.000000,22.000000,9.000000,6.000000
摊薄每股盈利(仙),35.000000,22.000000,9.000000,6.000000
每股股息(仙),5.000000,--,--,--
销售成本,-1170.188,-933.088,-785.597,-727.279
折旧,-7.354,-5.676,-5.798,-5.552
销售及分销费用,-32.629,-19.057,-8.81,-6.83
一般及行政费用,-170.015,-78.692,-51.681,-31.694
利息费用/融资成本,-48.791,-71.492,-55.321,-78.513
毛利,590.565,311.647,148.815,98.82
经营盈利,398.417,217.15,87.827,62.841
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
