报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,329.924,430.524,352.681,255.997
除税前盈利/(亏损),12.493,27.992,22.843,13.509
税项,-3.517,-4.366,-3.524,-2.129
除税后盈利/(亏损),8.976,23.626,19.319,11.38
少数股东权益,,,,
股东应占盈利/(亏损),8.976,23.626,19.319,11.38
股息,,,,
除税及股息后盈利/(亏损),8.976,23.626,19.319,11.38
基本每股盈利(仙),3.200000,,9.200000,
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-303.276,-398.509,-327.636,-239.553
折旧,--,-0.987,--,-0.966
销售及分销费用,--,--,--,--
一般及行政费用,-5.614,-5.816,-3.592,-4.681
利息费用/融资成本,-0.083,-0.076,-0.058,-0.083
毛利,26.648,32.015,25.045,16.444
经营盈利,12.493,27.992,22.843,13.509
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
