报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,55.277,221.372,151.253,86.106,53.995,57.827,37.888,27.558
除税前盈利/(亏损),-6.338,-193.533,-142.16,-129.035,-22.378,-327.092,-189.743,-130.738
税项,,,,,,,,
除税后盈利/(亏损),-6.338,-193.533,-142.16,-129.035,-22.378,-327.092,-189.743,-130.738
少数股东权益,-0.001,-0.004,-0.004,-0.004,-0.003,-0.001,-0.001,
股东应占盈利/(亏损),-6.337,-193.529,-142.156,-129.031,-22.375,-327.091,-189.742,-130.738
股息,,,,,,,,
除税及股息后盈利/(亏损),-6.337,-193.529,-142.156,-129.031,-22.375,-327.091,-189.742,-130.738
基本每股盈利(仙),-0.140000,-4.450000,-3.310000,-3.080000,-0.560000,-8.840000,-5.270000,-3.830000
摊薄每股盈利(仙),-0.140000,-4.450000,-3.310000,-3.080000,-0.560000,-8.840000,-5.270000,-3.830000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,--,-1.21,--,--,--,-10.745,-0.83,-0.83
折旧,-3.202,-58.957,-33.823,-30.876,-2.84,-59.578,-32.061,-29.55
销售及分销费用,--,--,--,--,--,--,--,--
一般及行政费用,--,--,--,--,--,--,--,--
利息费用/融资成本,-51.404,-165.563,-123.719,-74.716,-35.161,-119.356,-101.1,-66.042
毛利,55.277,220.162,151.253,86.106,53.995,47.082,37.058,26.728
经营盈利,-6.338,-193.533,-142.16,-129.035,-22.378,-327.092,-189.743,-130.738
应占联营公司盈利,--,-0.003,--,--,--,-0.143,-0.143,-0.076
币种,港币,港币,港币,港币,港币,港币,港币,港币
