报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,788.042,744.899,657.614,517.479
除税前盈利/(亏损),87.148,97.355,42.513,28.501
税项,-17.14,-22.098,-12.756,-6.623
除税后盈利/(亏损),70.008,75.257,29.757,21.878
少数股东权益,,,,
股东应占盈利/(亏损),70.008,75.257,29.757,21.878
股息,20,23.5,,
除税及股息后盈利/(亏损),50.008,51.757,29.757,21.878
基本每股盈利(仙),9.010000,,,
摊薄每股盈利(仙),9.010000,--,--,--
每股股息(仙),2.000000,--,--,--
销售成本,-552.142,-536.403,-492.286,-383.044
折旧,-9.623,-12.497,-11.507,-8.941
销售及分销费用,-17.179,-15.689,-18.516,-12.241
一般及行政费用,-115.315,-90.054,-89.905,-66.717
利息费用/融资成本,-9.053,-9.519,-8.429,-6.987
毛利,235.9,208.496,165.328,134.435
经营盈利,96.201,106.813,50.871,35.361
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
