报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,1199.714,515.022,941.617,417.804,926.471,824.675,984.026
除税前盈利/(亏损),198.056,68.55,112.045,48.471,103.166,37.804,44.074
税项,-38.201,-11.986,-31.369,-18.623,-20.098,-13.44,-10.531
除税后盈利/(亏损),159.855,56.564,80.676,29.848,83.068,24.364,33.543
少数股东权益,,,,,,,
股东应占盈利/(亏损),159.855,56.564,80.676,29.848,83.068,24.364,33.543
股息,82.104,,92.975,,,,
除税及股息后盈利/(亏损),77.751,56.564,-12.299,29.848,83.068,24.364,33.543
基本每股盈利(仙),16.110000,5.740000,10.760000,3.980000,,,
摊薄每股盈利(仙),16.110000,5.740000,10.760000,3.980000,--,--,--
每股股息(仙),9.800000,6.000000,9.392250,--,--,--,--
销售成本,-826.008,-375.107,-671.05,-289.513,-706.557,-652.051,-787.45
折旧,-5.9,-1.155,-2.69,-1.432,-6.328,-15.422,-18.345
销售及分销费用,-102.331,-32.188,-82,-31.773,-79.873,-68.057,-75.642
一般及行政费用,-72.251,-36.702,-77.321,-44.66,-51.102,-47.558,-57.579
利息费用/融资成本,-11.67,-6.025,-14.332,-5.973,-18.441,-28.321,-34.922
毛利,373.706,139.915,270.567,128.291,219.914,172.624,196.576
经营盈利,198.056,68.55,112.045,48.471,103.166,37.804,44.074
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
