报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,65.640278,51.469726,44.632963,42.738909
除税前盈利/(亏损),3.833362,8.115548,6.639593,3.277086
税项,-1.21672,-1.064874,-1.033214,-0.513134
除税后盈利/(亏损),2.616642,7.050674,5.606379,2.763952
少数股东权益,,,,
股东应占盈利/(亏损),2.616642,7.050674,5.606379,2.763952
股息,,,,
除税及股息后盈利/(亏损),2.616642,7.050674,5.606379,2.763952
基本每股盈利(仙),0.330000,,,
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-45.757397,-34.08006,-33.045917,-34.141515
折旧,-3.886606,-2.828212,-1.854111,-1.515197
销售及分销费用,--,--,--,--
一般及行政费用,-11.454197,-8.195375,-5.062832,-4.74653
利息费用/融资成本,-1.560448,-0.954944,-0.748953,-0.709942
毛利,19.882881,17.389666,11.587046,8.597394
经营盈利,3.833362,8.115548,6.639593,3.277086
应占联营公司盈利,--,--,--,--
币种,新加坡元,新加坡元,新加坡元,新加坡元
