报告期,2017-09-30,2017-03-31,2016-09-30,2016-03-31,2015-03-31
报表类型,中报,年报,中报,年报,年报
营业额,151.72,219.328,74.162,120.465,74.282
除税前盈利/(亏损),13.313,37.52,15.629,22.287,21.782
税项,-3.016,-6.565,-2.436,-3.757,-3.609
除税后盈利/(亏损),10.297,30.955,13.193,18.53,18.173
少数股东权益,1.497,2.982,1.319,0.929,
股东应占盈利/(亏损),8.8,27.973,11.874,17.601,18.173
股息,,,,,
除税及股息后盈利/(亏损),8.8,27.973,11.874,17.601,18.173
基本每股盈利(仙),,,,,
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-126.478,-169.339,-56.255,-93.281,-50.981
折旧,-2.781,-6.944,-3.347,-4.673,-4.057
销售及分销费用,--,--,--,--,--
一般及行政费用,-7.869,-12.983,-5.341,-6.452,-2.437
利息费用/融资成本,-0.57,-0.623,-0.241,-0.244,-0.132
毛利,25.242,49.989,17.907,27.184,23.301
经营盈利,13.313,37.52,15.629,22.287,21.782
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
