报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,6797.786,3240.529,9782.098,4398.44,6533.286,3845.919
除税前盈利/(亏损),687.13,317.012,760.408,313.656,381.237,264.162
税项,-127.819,-73.437,-143.256,-73.05,-78.867,-60.718
除税后盈利/(亏损),559.311,243.575,617.152,240.606,302.37,203.444
少数股东权益,0.019,,0.119,,,
股东应占盈利/(亏损),559.292,243.575,617.033,240.606,302.37,203.444
股息,41.906,,,,,
除税及股息后盈利/(亏损),517.386,243.575,617.033,240.606,302.37,203.444
基本每股盈利(仙),23.000000,12.000000,29.000000,11.000000,14.000000,10.000000
摊薄每股盈利(仙),23.000000,12.000000,--,11.000000,--,--
每股股息(仙),1.472000,--,--,--,--,--
销售成本,-5260.698,-2576.855,-8291.69,-3767.479,-5512.838,-3080.458
折旧,-133.972,-57.427,-113.198,-57.482,-122.621,-109.279
销售及分销费用,-26.542,-10.383,-15.27,-6.136,-6.19,-1.441
一般及行政费用,-802.822,-261.063,-612.64,-262.437,-568.648,-456.509
利息费用/融资成本,-283.495,-120.249,-170.101,-58.876,-59.261,-61.199
毛利,1537.088,663.674,1490.408,630.961,1020.448,765.461
经营盈利,687.13,317.012,760.408,313.656,381.237,264.162
应占联营公司盈利,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币
