报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31
报表类型,年报,中报,年报,中报,年报,年报,年报
营业额,1081.744,385.77,836.191,444.969,911.896,628.983,409.798
除税前盈利/(亏损),163.169,62.596,165.812,85.301,170.352,136.719,105.833
税项,-20.48,-9.546,-25.016,-13.023,-25.934,-21.187,-17.88
除税后盈利/(亏损),142.689,53.05,140.796,72.278,144.418,115.532,87.953
少数股东权益,11.391,4.212,14.149,8.284,14.006,15.146,14.059
股东应占盈利/(亏损),131.298,48.838,126.647,63.994,130.412,100.386,73.894
股息,68.7768,,,,12.176,83.332,92.086
除税及股息后盈利/(亏损),62.5212,48.838,126.647,63.994,118.236,17.054,-18.192
基本每股盈利(仙),16.000000,6.000000,20.000000,10.000000,22.000000,25.000000,19.000000
摊薄每股盈利(仙),16.000000,6.000000,--,--,--,--,--
每股股息(仙),8.000000,--,--,--,--,--,--
销售成本,-828.25,-277.469,-621.582,-344.661,-699.435,-456.82,-268.194
折旧,-5.609,-2.292,-7.092,-3.661,-6.085,-5.449,-4.965
销售及分销费用,-12.533,-6.659,-9.973,-4.477,-8.311,-6.645,-5.912
一般及行政费用,-57.901,-26.547,-46.323,-18.95,-38.706,-32.913,-30.339
利息费用/融资成本,-26.913,-12.174,-24.1,-6.63,-14.421,-11.765,-6.236
毛利,253.494,108.301,214.609,100.308,212.461,172.163,141.604
经营盈利,163.169,62.596,165.812,85.301,170.352,136.719,105.833
应占联营公司盈利,--,--,--,--,--,--,--
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币
