报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,46.243,41.294,37.478,36.751
除税前盈利/(亏损),185.622,245.86,210.687,116.282
税项,-4.895,-5.015,-5.18,-6.972
除税后盈利/(亏损),180.727,240.845,205.507,109.31
少数股东权益,,,,
股东应占盈利/(亏损),180.727,240.845,205.507,109.31
股息,,,,
除税及股息后盈利/(亏损),180.727,240.845,205.507,109.31
基本每股盈利(仙),33.470000,,,
摊薄每股盈利(仙),33.470000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-7.499,-4.305,-4.636,-5.61
折旧,-0.268,-0.268,-0.283,-0.303
销售及分销费用,--,--,--,--
一般及行政费用,-19.471,-7.648,-5.28,-4.144
利息费用/融资成本,-3.614,-0.044,--,--
毛利,38.744,36.989,32.842,31.141
经营盈利,189.236,245.904,207.96,104.779
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
