报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,517.937,392.099,319.706,315.247
除税前盈利/(亏损),-164.585,-63.27,-17.146,21.346
税项,-1.254,3.654,-3.21,-1.014
除税后盈利/(亏损),-165.839,-59.616,-20.356,20.332
少数股东权益,-1.819,-0.284,,
股东应占盈利/(亏损),-164.02,-59.332,-20.356,20.332
股息,,,,
除税及股息后盈利/(亏损),-164.02,-59.332,-20.356,20.332
基本每股盈利(仙),-3.000000,,,
摊薄每股盈利(仙),-3.000000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-366.912,-282.648,-219.505,-207.274
折旧,-8.973,-8.3,-5.025,-5.999
销售及分销费用,-90.041,-69.993,-41.11,-34.29
一般及行政费用,-143.589,-49.606,-41.348,-24.787
利息费用/融资成本,-0.009,-0.014,-0.01,-0.074
毛利,151.025,109.451,100.201,107.973
经营盈利,-163.414,-63.781,-17.337,21.244
应占联营公司盈利,--,--,--,--
币种,美元,美元,美元,美元
