报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,864.571,911.593,941.482
除税前盈利/(亏损),97.344,83.119,72.211
税项,-15.66,-11.52,-5.494
除税后盈利/(亏损),81.684,71.599,66.717
少数股东权益,,,
股东应占盈利/(亏损),81.684,71.599,66.717
股息,,,
除税及股息后盈利/(亏损),81.684,71.599,66.717
基本每股盈利(仙),6.220000,5.450000,5.080000
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-707.927,-769.037,-781.435
折旧,-10.587,-11.083,-9.101
销售及分销费用,-16.915,-18.114,-21.088
一般及行政费用,-27.985,-30.725,-52.358
利息费用/融资成本,-3.277,-3.604,-4.881
毛利,156.644,142.556,160.047
经营盈利,97.344,83.119,72.211
应占联营公司盈利,--,--,--
币种,人民币,港币,港币
