报告期,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报
营业额,1763.392,1688.458,1700.714
除税前盈利/(亏损),144.78,79.859,96.969
税项,-21.128,-11.574,-15.166
除税后盈利/(亏损),123.652,68.285,81.803
少数股东权益,,,
股东应占盈利/(亏损),123.652,68.285,81.803
股息,349.164,77.808,19.764
除税及股息后盈利/(亏损),-225.512,-9.523,62.039
基本每股盈利(仙),5.360000,2.960000,3.550000
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-1407.73,-1396.778,-1413.701
折旧,-45.763,-42.897,-38.765
销售及分销费用,-32.076,-33.416,-42.009
一般及行政费用,-196.101,-182.53,-160.946
利息费用/融资成本,-4.853,-5.537,-5.895
毛利,355.662,291.68,287.013
经营盈利,144.78,79.859,96.969
应占联营公司盈利,1.304,-0.431,-0.218
币种,美元,美元,美元
