报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,647.343,305.758,595.682,302.078,554.479,533.908
除税前盈利/(亏损),110.415,46.898,37.017,36.559,71.375,71.764
税项,-0.951,-0.15,-4.26,-1.196,-2.636,-1.391
除税后盈利/(亏损),109.464,46.748,32.757,35.363,68.739,70.373
少数股东权益,-0.687,-0.465,-0.213,,0.033,0.047
股东应占盈利/(亏损),110.151,47.213,32.97,35.363,68.706,70.326
股息,50,,,,,
除税及股息后盈利/(亏损),60.151,47.213,32.97,35.363,68.706,70.326
基本每股盈利(仙),24.000000,14.000000,10.000000,11.000000,20.000000,21.000000
摊薄每股盈利(仙),15.000000,7.000000,10.000000,10.000000,--,--
每股股息(仙),8.130000,--,--,--,--,--
销售成本,-417.123,-199.447,-384.429,-202.353,-359.638,-359.804
折旧,-27.67,-13.342,-20.04,-9.775,-15.627,-13.931
销售及分销费用,-15.72,-6.759,-12.898,-6.358,-12.876,-14.865
一般及行政费用,-105.695,-48.009,-87.383,-43.073,-92.42,-82.228
利息费用/融资成本,-12.505,-7.722,-17.562,-7.126,-12.528,-12.364
毛利,230.22,106.311,211.253,99.725,194.841,174.104
经营盈利,110.415,46.898,37.017,36.559,71.375,71.764
应占联营公司盈利,--,--,--,--,--,--
币种,港币,港币,港币,港币,港币,港币
