报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,1877.155,886.889,1540.666,692.424,1203.717,1006.249
除税前盈利/(亏损),510.128,236.585,411.428,183.326,273.212,228.473
税项,-118.858,-60.608,-113.087,-49.374,-51.349,-47.265
除税后盈利/(亏损),391.27,175.977,298.341,133.952,221.863,181.208
少数股东权益,,,,,-6.583,6.622
股东应占盈利/(亏损),391.27,175.977,298.341,133.952,228.446,174.586
股息,117.934,50.32,100,,,
除税及股息后盈利/(亏损),273.336,125.657,198.341,133.952,228.446,174.586
基本每股盈利(仙),44.000000,23.000000,,18.000000,,
摊薄每股盈利(仙),44.000000,23.000000,--,18.000000,--,--
每股股息(仙),12.000000,5.000000,--,--,--,--
销售成本,-1097.904,-514.129,-907.354,-401.411,-751.224,-618.381
折旧,-64.858,-30.273,-59.168,-29.227,-51.653,-39.437
销售及分销费用,-37.456,-23.303,-29.425,-18.889,-24.161,-18.412
一般及行政费用,-274.882,-126.077,-218.645,-101.775,-176.589,-151.499
利息费用/融资成本,-0.26,-0.166,-0.628,-0.394,-1.344,-0.926
毛利,779.251,372.76,633.312,291.013,452.493,387.868
经营盈利,510.128,236.585,411.428,183.326,273.212,228.473
应占联营公司盈利,1.392,0.425,0.348,0.127,0.345,0.007
币种,人民币,人民币,人民币,人民币,人民币,人民币
