报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
利息收入,14045.768,12062.975,11129.068,7992.66
利息支出,-6560.779,-5392.758,-5995.034,-4559.66
净利息收入,7484.989,6670.217,5134.034,3433
其他经营收入,212.822,52.366,33.505,30.815
经营收入,8052.545,6970.913,5302.841,3602.36
经营支出,-2052.23,-1903.834,-1829.984,-1258.576
总准备,-1523.033,-2504.347,-1720.552,-937.954
其他盈利/(亏损),0,0,0,0
除税前盈利/(亏损),4479.08,2564.609,1753.709,1408.585
税项,-1115.351,-643.605,-455.312,-345.998
除税后盈利/(亏损),3363.729,1921.004,1298.397,1062.587
少数股东权益,,,,
股东应占盈利/(亏损),3363.729,1921.004,1298.397,1062.587
股息,,,602.079,
除税及股息后盈利/(亏损),3363.729,1921.004,696.318,1062.587
基本每股营利(仙),44.620000,25.470000,17.210000,19.480000
摊薄每股盈利(仙),44.620000,25.470000,17.210000,19.480000
币种,人民币,人民币,人民币,人民币
