报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,363.303,309.268,293.029,297.383
除税前盈利/(亏损),37.919,40.859,46.533,39.135
税项,-1.752,-10.323,-11.051,-9.827
除税后盈利/(亏损),36.167,30.536,35.482,29.308
少数股东权益,0.248,-0.43,1.026,0.635
股东应占盈利/(亏损),35.919,30.966,34.456,28.673
股息,9.726,41.9,57.8,
除税及股息后盈利/(亏损),26.193,-10.934,-23.344,28.673
基本每股盈利(仙),12.000000,,,
摊薄每股盈利(仙),12.000000,--,--,--
每股股息(仙),3.000000,--,--,--
销售成本,-296.434,-248.625,-236.235,-243.495
折旧,-0.551,-0.585,-0.777,-2.164
销售及分销费用,-4.682,-4.188,-4.831,-3.811
一般及行政费用,-42.69,-31.267,-18.843,-20.875
利息费用/融资成本,-1.496,-1.177,-1.407,-0.462
毛利,66.869,60.643,56.794,53.888
经营盈利,37.919,40.859,46.533,39.135
应占联营公司盈利,7.159,2.285,0.296,0.88
币种,人民币,人民币,人民币,人民币
