报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31,2014-12-31
报表类型,一季报,年报,一季报,年报,年报,年报
营业额,30.102,137.113,36.101,120.288,104.538,84.443
除税前盈利/(亏损),12.781,49.39,15,41.859,42.248,117.722
税项,-2.292,-11.746,-3.266,-7.048,-8.269,-6.503
除税后盈利/(亏损),10.489,37.644,11.734,34.811,33.979,111.15
少数股东权益,1.36,5.922,1.01,6.104,-0.15,-0.05
股东应占盈利/(亏损),9.129,31.722,10.724,28.707,34.129,111.2
股息,,20.569,,14.799,11.26,11.353
除税及股息后盈利/(亏损),9.129,11.153,10.724,13.908,22.869,99.847
基本每股盈利(仙),1.090000,4.170000,1.450000,3.860000,4.520000,14.700000
摊薄每股盈利(仙),1.090000,4.170000,1.450000,3.860000,4.520000,14.420000
每股股息(仙),--,2.500000,--,2.000000,1.500000,1.500000
销售成本,-8.547,-42.903,-12.07,-41.885,-35.718,-28.659
折旧,-0.771,-3.12,-2.045,-3.042,-2.291,-1.928
销售及分销费用,-0.276,-1.18,-0.269,-1.313,-1.47,-1.175
一般及行政费用,-4.785,-26.832,-5.794,-18.166,-20.241,-14.502
利息费用/融资成本,-5.597,-21.545,-4.801,-21.383,-15.94,-8.889
毛利,21.555,94.21,24.031,78.403,68.82,55.784
经营盈利,12.781,49.39,15,41.859,42.248,117.722
应占联营公司盈利,1.699,4.606,1.431,5.398,5.986,-0.016
币种,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元,新加坡元
