报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,700.365,669.894,481.127,431.969
除税前盈利/(亏损),109.823,108.966,87.193,76.687
税项,-15.025,-15.241,-13.768,-12.887
除税后盈利/(亏损),94.798,93.725,73.425,63.8
少数股东权益,,,,
股东应占盈利/(亏损),94.798,93.725,73.425,63.8
股息,,2.368,1.462,
除税及股息后盈利/(亏损),94.798,91.357,71.963,63.8
基本每股盈利(仙),15.800000,,,
摊薄每股盈利(仙),15.800000,--,--,--
每股股息(仙),--,--,--,--
销售成本,-482.965,-476.793,-321.546,-292.449
折旧,-52.449,-47.564,-39.242,-31.397
销售及分销费用,-27.432,-25.857,-21.009,-20.154
一般及行政费用,-75.631,-50.27,-43.861,-34.547
利息费用/融资成本,-12.29,-13.064,-12.077,-12.581
毛利,217.4,193.101,159.581,139.52
经营盈利,122.113,122.03,99.27,89.268
应占联营公司盈利,--,--,--,--
币种,人民币,人民币,人民币,人民币
