报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,19995.061,14603.52,4310.18,3039.559
除税前盈利/(亏损),2749.579,2364.908,799.904,424.233
税项,-1228.185,-1121.686,-380.965,-344.132
除税后盈利/(亏损),1521.394,1243.222,418.939,80.101
少数股东权益,112.518,59.966,0.202,26.742
股东应占盈利/(亏损),1408.876,1183.256,418.737,53.359
股息,329.918,,,
除税及股息后盈利/(亏损),1078.958,1183.256,418.737,53.359
基本每股盈利(仙),47.000000,,,
摊薄每股盈利(仙),47.000000,--,--,--
每股股息(仙),10.000000,--,--,--
销售成本,-15777.701,-11433.831,-3300.201,-2370.938
折旧,-21.708,-21.944,-22.412,-16.379
销售及分销费用,-641.043,-587.476,-557.72,-332.233
一般及行政费用,-664.519,-477.292,-342.783,-295.882
利息费用/融资成本,-551.539,-356.072,-78.868,-181.349
毛利,4217.36,3169.689,1009.979,668.621
经营盈利,2749.579,2364.908,799.904,424.233
应占联营公司盈利,-12.269,--,--,--
币种,人民币,人民币,人民币,人民币
