报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,3398.803,1379.476,2880.26,1041.666,2327.902,2482.214
除税前盈利/(亏损),224.554,91.299,211.599,29.618,209.073,234.152
税项,-44.068,-23.912,-43.037,-6.065,-32.057,-47.128
除税后盈利/(亏损),180.486,67.387,168.562,23.553,177.016,187.024
少数股东权益,-0.004,-0.003,,0.003,0.007,-0.001
股东应占盈利/(亏损),180.49,67.39,168.562,23.55,177.009,187.025
股息,47.482,,40.553,,44.202759,41.667404
除税及股息后盈利/(亏损),133.008,67.39,128.009,23.55,132.80624100000003,145.357596
基本每股盈利(仙),2.950000,1.200000,3.010000,0.420000,3.210000,3.570000
摊薄每股盈利(仙),2.810000,1.150000,2.900000,0.410000,3.150000,3.570000
每股股息(仙),5.500000,--,4.700000,--,8.000000,12.000000
销售成本,-2829.359,-1132.878,-2389.85,-860.778,-1892.662,-2004.655
折旧,-181.519,-81.487,-148.495,-77.715,-133.968,-141.32
销售及分销费用,-82.926,-40.052,-87.277,-36.741,-68.413,-71.957
一般及行政费用,-81.157,-35.489,-68.102,-42.437,-89.619,-76.326
利息费用/融资成本,-4.757,-2.943,-3.826,-1.949,-5.955,-3.261
毛利,569.444,246.598,490.41,180.888,435.24,477.559
经营盈利,219.826,89.925,209.954,28.642,209.222,230.08
应占联营公司盈利,-0.285,-0.175,-0.059,-0.011,-0.109,--
币种,美元,美元,美元,美元,美元,美元
