报告期,2018-03-31,2017-12-31,2017-03-31,2016-12-31,2015-12-31
报表类型,一季报,年报,一季报,年报,年报
营业额,13.928423,86.063958,18.028045,52.576234,48.17478
除税前盈利/(亏损),-1.748757,7.122981,1.155793,11.458702,14.45328
税项,,-2.630695,-0.650237,-1.896421,-1.694582
除税后盈利/(亏损),-1.748757,4.492286,0.505556,9.562281,12.758698
少数股东权益,,,,,
股东应占盈利/(亏损),-1.748757,4.492286,0.505556,9.562281,12.758698
股息,,,,,
除税及股息后盈利/(亏损),-1.748757,4.492286,0.505556,9.562281,12.758698
基本每股盈利(仙),-0.200000,0.600000,0.100000,1.300000,1.700000
摊薄每股盈利(仙),--,--,--,--,--
每股股息(仙),--,--,--,--,--
销售成本,-11.185369,-51.233577,-10.389756,-29.347887,-28.634786
折旧,-0.054976,-0.217795,-0.057238,-0.143987,-0.104358
销售及分销费用,--,--,--,--,--
一般及行政费用,--,--,--,--,--
利息费用/融资成本,--,--,--,--,--
毛利,2.743054,34.830381,7.638289,23.228347,19.539994
经营盈利,-1.748757,7.122981,1.155793,11.458702,14.45328
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
