报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-06-30.1,2014-12-31
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,1328.474,575.575,528.132,182.609,638.26,193.747,415.812,222.065
除税前盈利/(亏损),654.734,181.507,109.926,23.472,92.951,113.303,116.744,3.441
税项,-349.777,-101.897,-51.373,-7.908,3.513,1.767,1.296,-0.471
除税后盈利/(亏损),301.415,79.61,58.553,15.564,96.464,115.07,118.04,2.97
少数股东权益,-6.333,-4.258,6.817,3.612,-3.412,-1.594,-1.594,
股东应占盈利/(亏损),307.748,83.868,51.736,11.952,99.876,116.664,119.634,2.97
股息,,,,,,,,
除税及股息后盈利/(亏损),307.748,83.868,51.736,11.952,99.876,116.664,119.634,2.97
基本每股盈利(仙),3.562000,0.971000,0.599000,0.138000,1.156000,1.350000,1.385000,0.340000
摊薄每股盈利(仙),--,0.971000,0.599000,0.138000,1.156000,1.350000,1.385000,--
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-482.172,-264.242,-326.483,-137.561,-415.179,-118.295,-265.835,-147.54
折旧,-14.685,-9.906,-20.175,-9.287,-30.933,-8.306,-20.717,-12.411
销售及分销费用,-70.526,-59.558,-68.076,-36.981,-122.619,-45.225,-78.593,-33.368
一般及行政费用,-134.092,-73.314,-109.88,-54.407,-144.623,-54.027,-92.918,-38.891
利息费用/融资成本,-6.136,-10.727,-5.468,-4.269,-3.614,-1.295,-1.295,--
毛利,846.302,311.333,201.649,45.048,223.081,75.452,149.977,74.525
经营盈利,640.261,181.202,88.089,20.266,94.342,113.251,116.692,3.441
应占联营公司盈利,--,--,--,--,--,--,--,--
币种,人民币,港币,港币,港币,港币,港币,港币,港币
