报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31
报表类型,年报,中报,年报,中报,年报,年报
营业额,1223.825,479.359,914.925,424.701,825.107,735.225
除税前盈利/(亏损),372.425,158.278,326.871,152.008,267.742,277.895
税项,-58.336,-25.499,-51.193,-22.595,-30.131,-32.382
除税后盈利/(亏损),314.089,132.779,275.678,129.413,237.611,245.513
少数股东权益,1.012,0.442,0.685,0.15,,
股东应占盈利/(亏损),313.077,132.337,274.993,129.263,237.611,245.513
股息,157.1452497,,102.911,,252,
除税及股息后盈利/(亏损),155.9317503,132.337,172.082,129.263,-14.389,245.513
基本每股盈利(仙),33.000000,15.000000,38.000000,18.000000,33.000000,34.000000
摊薄每股盈利(仙),33.000000,15.000000,38.000000,18.000000,33.000000,34.000000
每股股息(仙),15.270000,--,10.000000,--,--,--
销售成本,-723.335,-269.282,-489.444,-223.231,-446.967,-369.87
折旧,-165.951,-82.411,-162.362,-78.809,-139.221,-131.354
销售及分销费用,-13.875,-6.265,-10.605,-5.098,-9.456,-8.23
一般及行政费用,-124.49,-52.783,-97.604,-40.576,-69.857,-48.993
利息费用/融资成本,-104.754,-51.935,-80.299,-43.109,-64.064,-55.299
毛利,500.49,210.077,425.481,201.47,378.14,365.355
经营盈利,443.317,191.192,390.621,194.394,312.168,307.623
应占联营公司盈利,0.156,0.479,-0.121,-0.178,-0.367,-0.955
币种,人民币,人民币,人民币,人民币,人民币,人民币
