报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31
报表类型,三季报,年报,三季报,年报
营业额,54.224,63.522,49.071,59.065
除税前盈利/(亏损),11.63,16.428,12.718,15.652
税项,-2.652,-2.904,-2.165,-2.603
除税后盈利/(亏损),8.978,13.524,10.553,13.049
少数股东权益,,,,
股东应占盈利/(亏损),8.978,13.524,10.553,13.049
股息,,8,,
除税及股息后盈利/(亏损),8.978,5.524,10.553,13.049
基本每股盈利(仙),1.500000,2.250000,1.760000,2.170000
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),--,--,--,--
销售成本,-21.831,-25.505,-19.577,-23.377
折旧,-0.441,-0.418,-0.311,-0.293
销售及分销费用,-3.902,-4.826,-3.504,-3.937
一般及行政费用,-17.026,-16.715,-13.253,-15.99
利息费用/融资成本,-0.071,-0.142,-0.113,-0.165
毛利,32.393,38.017,29.494,35.688
经营盈利,11.701,16.57,12.831,15.817
应占联营公司盈利,--,--,--,--
币种,港币,港币,港币,港币
