报告期,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30
报表类型,一季报,年报,三季报,中报,一季报,年报,三季报,中报
营业额,96613,366229,274702,184118,91428,352285,263816,176828
除税前盈利/(亏损),7616,24953,24729,16679,7145,24097,23339,15469
税项,-1886,-6192,-6131,-4084,-1775,-5988,-5727,-3747
除税后盈利/(亏损),5730,18761,18598,12595,5370,18109,17612,11722
少数股东权益,32,144,96,58,22,105,69,49
股东应占盈利/(亏损),5698,18617,18502,12537,5348,18004,17543,11673
股息,,7518,,,,7530,,
除税及股息后盈利/(亏损),5698,11099,18502,12537,5348,10474,17543,11673
基本每股盈利(仙),,23.000000,,15.000000,,22.000000,,14.000000
摊薄每股盈利(仙),--,--,--,--,--,--,--,--
每股股息(仙),--,11.500000,--,--,--,9.304300,--,--
销售成本,-27249,-103969,-73296,-48431,-23774,-94092,-66774,-43951
折旧,-18225,-74951,-52241,-34432,-17013,-67938,-50335,-33447
销售及分销费用,-13963,-58434,-42325,-28738,-14166,-56417,-39426,-27319
一般及行政费用,--,--,--,--,--,--,--,--
利息费用/融资成本,-871,-3291,-2582,-1771,-925,-3235,-2595,-1728
毛利,69364,262260,201406,135687,67654,258193,197042,132877
经营盈利,8283,27220,26603,17982,7802,27201,25698,17108
应占联营公司盈利,204,877,708,453,268,91,236,80
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
