报告期,2017-12-31,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报,年报
营业额,481.242,444.507,441.746,394.614
除税前盈利/(亏损),121.166,133.171,118.849,90.058
税项,-34.214,-33.435,-31.253,-18.705
除税后盈利/(亏损),86.952,99.736,87.596,71.353
少数股东权益,16.184,15.61,13.546,11.608
股东应占盈利/(亏损),70.768,84.126,74.05,59.745
股息,,,,
除税及股息后盈利/(亏损),70.768,84.126,74.05,59.745
基本每股盈利(仙),9.000000,,,
摊薄每股盈利(仙),--,--,--,--
每股股息(仙),4.500000,--,--,--
销售成本,-163.491,-135.539,-132.131,-111.871
折旧,-41.476,-40.793,-41.098,-37.29
销售及分销费用,--,--,--,--
一般及行政费用,--,--,--,--
利息费用/融资成本,-36.238,-42.265,-54.244,-56.309
毛利,317.751,308.968,309.615,282.743
经营盈利,121.166,133.171,118.849,90.058
应占联营公司盈利,11.884,12.369,12.26,11.17
币种,人民币,人民币,人民币,人民币
