报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,703.004,416.457,763.501,348.133,527.341,293.494,849.952,429.564
除税前盈利/(亏损),-544.059,-209.698,-503.442,-173.623,-174.018,-80.651,30.551,-58.517
税项,-0.082,-0.412,5.062,3.458,-5.489,-3.359,2.93,0.314
除税后盈利/(亏损),-544.141,-210.11,-498.38,-170.165,-179.507,-84.01,33.481,-58.203
少数股东权益,-19.248,-7.354,-19.003,-11.283,-23.209,-7.619,-9.842,-12.022
股东应占盈利/(亏损),-524.893,-202.756,-479.377,-158.882,-156.298,-76.391,43.323,-46.181
股息,,,,,,,,
除税及股息后盈利/(亏损),-524.893,-202.756,-479.377,-158.882,-156.298,-76.391,43.323,-46.181
基本每股盈利(仙),-2.458000,-1.045000,-4.099000,-1.468000,-1.572000,-0.777000,0.441000,-0.470000
摊薄每股盈利(仙),-2.458000,-1.045000,-4.099000,-1.468000,-1.572000,-0.777000,0.008000,-0.470000
每股股息(仙),--,--,--,--,--,--,--,--
销售成本,-621.226,-355.978,-639.154,-285.806,-443.122,-224.401,-700.543,-364.34
折旧,-31.387,-15.825,-21.633,-10.353,-27.058,-12.774,-23.262,-9.279
销售及分销费用,-32.705,-8.188,-79.715,-9.542,-28.658,-19.034,-22.769,-8.241
一般及行政费用,-579.513,-254.471,-503.129,-203.088,-251.478,-117.614,-205.763,-97.828
利息费用/融资成本,-21.598,-14.692,-56.21,-27.521,-39.801,-19.394,-41.182,-20.015
毛利,81.778,60.479,124.347,62.327,84.219,69.093,149.409,65.224
经营盈利,-544.059,-209.698,-503.442,-173.623,-174.018,-80.651,30.551,-58.517
应占联营公司盈利,-3.763,--,--,--,-0.425,0.956,--,--
币种,港币,港币,港币,港币,港币,港币,港币,港币
