报告期,2017-12-31,2016-12-31,2015-12-31
报表类型,年报,年报,年报
营业额,1868.021,601.494,278.69
除税前盈利/(亏损),-1001.235,-758.215,-323.708
税项,-0.408,,
除税后盈利/(亏损),-1001.643,-758.215,-323.708
少数股东权益,,,
股东应占盈利/(亏损),-1001.643,-758.215,-323.708
股息,,,
除税及股息后盈利/(亏损),-1001.643,-758.215,-323.708
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-1255.951,-347.915,-167.923
折旧,-26.432,-14.347,-4.078
销售及分销费用,-723.556,-781.079,-178.558
一般及行政费用,-710.665,-461.058,-251.474
利息费用/融资成本,-37.579,-17.633,-1.529
毛利,612.07,253.579,110.767
经营盈利,-996.425,-740.045,-323.103
应占联营公司盈利,--,--,--
币种,人民币,人民币,人民币
