报告期,2016-12-31,2015-12-31,2014-12-31
报表类型,年报,年报,年报
营业额,2629.905,2628.663,2535.984
除税前盈利/(亏损),167.669,182.575,231.14
税项,-60.517,-66.397,-58.38
除税后盈利/(亏损),107.152,116.178,172.76
少数股东权益,16.39,14.91,23.273
股东应占盈利/(亏损),90.762,101.268,149.487
股息,,540,
除税及股息后盈利/(亏损),90.762,-438.732,149.487
基本每股盈利(仙),11.290000,12.940000,24.110000
摊薄每股盈利(仙),11.290000,--,--
每股股息(仙),--,--,--
销售成本,-1588.722,-1633.323,-1670.503
折旧,-90.78,-76.579,-74.122
销售及分销费用,-607.088,-572.785,-477.548
一般及行政费用,-143.724,-135.946,-128.529
利息费用/融资成本,--,--,--
毛利,1041.183,995.34,865.481
经营盈利,167.669,182.575,231.14
应占联营公司盈利,--,--,--
币种,港币,港币,港币
