报告期,2018-03-31,2017-12-31,2017-09-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31
报表类型,一季报,年报,三季报,一季报,年报,三季报,年报
营业额,20.96,109.745,85.79,27.935,97.937,70.933,89.034
除税前盈利/(亏损),0.375,10.476,7.158,1.898,7.994,6.366,6.886
税项,-0.139,-1.902,-1.999,-0.78,-1.326,-0.641,-1.51
除税后盈利/(亏损),0.236,8.574,5.159,1.118,6.668,5.725,5.376
少数股东权益,,-0.23,-0.23,-0.06,-0.158,-0.132,-0.26
股东应占盈利/(亏损),0.236,8.804,5.389,1.178,6.826,5.857,5.636
股息,,,,,,,
除税及股息后盈利/(亏损),0.236,8.804,5.389,1.178,6.826,5.857,5.636
基本每股盈利(仙),0.050000,2.180000,1.430000,0.310000,,1.550000,
摊薄每股盈利(仙),0.050000,2.180000,1.430000,0.310000,--,1.550000,--
每股股息(仙),--,--,--,--,--,--,--
销售成本,-15.837,-79.514,-61.915,-19.63,-71.074,-52.376,-68.113
折旧,-0.738,-3.323,--,-0.862,-3.634,--,-3.996
销售及分销费用,-0.586,-3.048,-2.246,-0.665,-2.609,-1.743,-2.334
一般及行政费用,-3.694,-22.355,-17.151,-5.73,-14.262,-10.184,-12.941
利息费用/融资成本,-0.208,-1.144,-0.903,-0.284,-1.155,-0.889,-1.079
毛利,5.123,30.231,23.875,8.305,26.863,18.557,20.921
经营盈利,0.375,10.476,7.158,1.898,7.994,6.366,6.886
应占联营公司盈利,-0.32,-0.29,--,--,--,--,--
币种,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特,马来西亚，林吉特
