报告期,2017-03-31,2016-03-31,2015-03-31
报表类型,年报,年报,年报
营业额,677.214,585.94,546.043
除税前盈利/(亏损),63.314,51.745,11.632
税项,-8.383,-3.612,-4.388
除税后盈利/(亏损),54.931,48.133,7.244
少数股东权益,,,
股东应占盈利/(亏损),54.931,48.133,7.244
股息,,,
除税及股息后盈利/(亏损),54.931,48.133,7.244
基本每股盈利(仙),,,
摊薄每股盈利(仙),--,--,--
每股股息(仙),--,--,--
销售成本,-537.597,-491.875,-479.314
折旧,-7.804,-6.783,-4.825
销售及分销费用,-28.792,-26.164,-23.777
一般及行政费用,-40.236,-26.302,-23.993
利息费用/融资成本,-1.686,-1.234,-1.315
毛利,139.617,94.065,66.729
经营盈利,64.524,52.345,12.942
应占联营公司盈利,--,--,--
币种,港币,港币,港币
