报告期,2017-12-31,2017-03-31,2016-12-31,2016-03-31,2015-03-31
报表类型,三季报,年报,三季报,年报,年报
营业额,226.364,281.639,200.54,244.619,205.008
除税前盈利/(亏损),1.242,5.926,1.503,5.511,10.475
税项,-1.513,-2.228,-1.202,-1.664,-1.303
除税后盈利/(亏损),-0.271,3.698,0.301,3.847,9.172
少数股东权益,,,,,
股东应占盈利/(亏损),-0.271,3.698,0.301,3.847,9.172
股息,,,,,
除税及股息后盈利/(亏损),-0.271,3.698,0.301,3.847,9.172
基本每股盈利(仙),-0.100000,,0.100000,,
摊薄每股盈利(仙),-0.100000,--,0.100000,--,--
每股股息(仙),--,--,--,--,--
销售成本,-198.17,-244.664,-176.484,-211.441,-177.626
折旧,-2.635,-2.656,-1.594,-1.516,-1.165
销售及分销费用,-6.99,-8.989,-6.666,-7.119,-4.46
一般及行政费用,-9.121,-11.464,-8.047,-9.582,-9.527
利息费用/融资成本,-2.631,-4.935,-4.507,-5.68,-5.223
毛利,28.194,36.975,24.056,33.178,27.382
经营盈利,1.242,5.926,1.503,5.511,10.475
应占联营公司盈利,--,--,--,--,--
币种,港币,港币,港币,港币,港币
