报告期,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30
报表类型,年报,中报,年报,中报,年报,中报,年报,中报
营业额,32596.711,13842.176,36627.771,15391.169,26408.437,11354.405,25710.377,10398.535
除税前盈利/(亏损),2757.885,1193.605,2604.994,1173.257,2326.927,908.487,2003.019,905.929
税项,-341.321,-182.392,-352.743,-181.189,-389.17,-126.034,-267.298,-119.272
除税后盈利/(亏损),2416.564,1011.213,2252.251,992.068,1937.757,782.453,1735.721,786.657
少数股东权益,1194.284,460.996,1133.29,487.866,1075.22,422.919,954.423,411.434
股东应占盈利/(亏损),1222.28,550.217,1118.961,504.202,862.537,359.534,781.298,375.223
股息,178.98365507999998,,119.32243672,,109.48858334,,109.489,
除税及股息后盈利/(亏损),1043.29634492,550.217,999.63856328,504.202,753.0484166599999,359.534,671.809,375.223
基本每股盈利(仙),20.500000,9.220000,18.800000,8.450000,15.800000,6.570000,14.300000,6.880000
摊薄每股盈利(仙),20.500000,9.220000,18.800000,8.450000,15.800000,6.570000,14.300000,6.880000
每股股息(仙),3.000000,--,2.000000,--,2.000000,--,2.000000,--
销售成本,-25152.802,-10917.411,-29664.43,-12512.079,-20408.071,-8763.964,-20811.59,-8302.004
折旧,-1045.921,-451.986,-890.954,-435.864,-866.415,-418.764,-763.461,-376.159
销售及分销费用,-587.498,-253.169,-573.05,-252.207,-523.661,-203.125,-470.346,-203.893
一般及行政费用,-4343.755,-1554.069,-3921.305,-1457.851,-3365.924,-1563.48,-2749.702,-1125.257
利息费用/融资成本,-507.177,-202.366,-464.621,-207.948,-464.571,-203.636,-369.131,-171.923
毛利,7443.909,2924.765,6963.341,2879.09,6000.366,2590.441,4898.787,2096.531
经营盈利,2913.445,1244.231,2731.036,1230.953,2422.71,932.316,1995.052,870.498
应占联营公司盈利,152.352,72.261,98.549,25.089,127.451,61.22,127.921,46.343
币种,人民币,人民币,人民币,人民币,人民币,人民币,人民币,人民币
